Key	Type	Desc	English	Polish	German
CreditsNames/MaciejKołodziejczyk	Text	 [new]	Maciej Kołodziejczyk	Maciej Kołodziejczyk	Maciej Kołodziejczyk
CreditsNames/MalikSpringer	Text	 [new]	Malik Springer	Malik Springer	Malik Springer
CreditsNames/Marcel	Text	 [new]	Marcel	Marcel	Marcel
CreditsNames/MarianaChagas	Text		Mariana Chagas	Mariana Chagas	Mariana Chagas
CreditsNames/Marine	Text	 [new]	Marine	Marine	Marine
CreditsNames/MariuszGelnicki	Text	 [new]	Mariusz Gelnicki	Mariusz Gelnicki	Mariusz Gelnicki
CreditsNames/MarkInman	Text		Mark Inman	Mark Inman	Mark Inman
CreditsNames/MattieSu	Text	 [new]	Mattie Su	Mattie Su	Mattie Su
CreditsNames/MaxHallden	Text		Max Halldén	Max Halldén	Max Halldén
CreditsNames/MegSpencer	Text		Meg Spencer	Meg Spencer	Meg Spencer
CreditsNames/MeowX	Text	 [new]	Meow_X	Meow_X	Meow_X
CreditsNames/MichałBłoński	Text	 [new]	Michał Błoński	Michał Błoński	Michał Błoński
CreditsNames/MichelleLewis	Text	 [new]	Michelle Lewis	Michelle Lewis	Michelle Lewis
CreditsNames/Mistry	Text		Mistry	Mistry	Mistry
CreditsNames/MrVilo	Text		Mr Vilo	Mr Vilo	Mr Vilo
CreditsNames/MushBerry7	Text	 [new]	MushBerry7	MushBerry7	MushBerry7
CreditsNames/MustacheMan	Text	 [new]	Mustache_Man	Mustache_Man	Mustache_Man
CreditsNames/NAS	Text	 [new]	N.A.S	N.A.S	N.A.S
CreditsNames/NadjaBatdorf	Text	 [new]	Nadja Batdorf	Nadja Batdorf	Nadja Batdorf
CreditsNames/NagataMai	Text	 [new]	Nagata Mai	Nagata Mai	Nagata Mai
CreditsNames/NathanTull	Text	 [new]	Nathan Tull	Nathan Tull	Nathan Tull
CreditsNames/Nebur7420	Text		Nebur7420	Nebur7420	Nebur7420
CreditsNames/NickPayne	Text		Nick Payne	Nick Payne	Nick Payne
CreditsNames/NickTrout	Text	 [new]	Nick Trout	Nick Trout	Nick Trout
CreditsNames/NicolaSpinoni	Text	 [new]	Nicola Spinoni	Nicola Spinoni	Nicola Spinoni
CreditsNames/NiklasWigertz	Text		Niklas Wigertz	Niklas Wigertz	Niklas Wigertz
CreditsNames/NyronBahadur	Text	 [new]	Nyron Bahadur	Nyron Bahadur	Nyron Bahadur
CreditsNames/Omnimetatron	Text		Omnimetatron	Omnimetatron	Omnimetatron
CreditsNames/OrianDesfontaine	Text	 [new]	Orian Desfontaine	Orian Desfontaine	Orian Desfontaine
CreditsNames/OskarBorecki	Text	 [new]	Oskar Borecki	Oskar Borecki	Oskar Borecki
CreditsNames/OskarDobrowolski	Text	 [new]	Oskar Dobrowolski	Oskar Dobrowolski	Oskar Dobrowolski
CreditsNames/OskarTengvall	Text		Oskar Tengvall	Oskar Tengvall	Oskar Tengvall
CreditsNames/Owlunae	Text	 [new]	Owlunae	Owlunae	Owlunae
CreditsNames/PatriciaCuetoGarcía	Text	 [new]	Patricia Cueto García	Patricia Cueto García	Patricia Cueto García
CreditsNames/PatriciaRamónArias	Text	 [new]	Patricia Ramón Arias	Patricia Ramón Arias	Patricia Ramón Arias
CreditsNames/PatrykNeubauer	Text	 [new]	Patryk Neubauer	Patryk Neubauer	Patryk Neubauer
CreditsNames/PatrykWino	Text	 [new]	Patryk Wino	Patryk Wino	Patryk Wino
CreditsNames/PatrykWróblewski	Text	 [new]	Patryk Wróblewski	Patryk Wróblewski	Patryk Wróblewski
CreditsNames/PaulAndréRenaud	Text	 [new]	Paul-André Renaud	Paul-André Renaud	Paul-André Renaud
CreditsNames/PaulinePloch	Text	 [new]	Pauline Ploch	Pauline Ploch	Pauline Ploch
CreditsNames/PawelWill	Text	 [new]	Pawel Will	Pawel Will	Pawel Will
CreditsNames/PekkaKaski	Text	 [new]	Pekka Kaski	Pekka Kaski	Pekka Kaski
CreditsNames/Playtropic	Text		Playtropic Videogame Services	Playtropic Videogame Services	Playtropic
CreditsNames/PopKnock	Text	 [new]	PopKnock	PopKnock	PopKnock
CreditsNames/Pugstorm	Text		Pugstorm AB	Pugstorm AB	Pugstorm AB
CreditsNames/PugstormProduction	Text	 [new]	A Pugstorm Production	A Pugstorm Production	Eine Pugstorm-Produktion
CreditsNames/RafaelNorville	Text	 [new]	Rafael Norville	Rafael Norville	Rafael Norville
CreditsNames/RamonMarshall	Text	 [new]	Ramon Marshall	Ramon Marshall	Ramon Marshall
CreditsNames/RanaldoJohn	Text	 [new]	Ranaldo John	Ranaldo John	Ranaldo John
CreditsNames/RashawnLewis	Text	 [new]	Rashawn Lewis	Rashawn Lewis	Rashawn Lewis
CreditsNames/RashoneGaskin	Text	 [new]	Rashone Gaskin	Rashone Gaskin	Rashone Gaskin
CreditsNames/RasmusJarvela	Text		Rasmus Järvelä	Rasmus Järvelä	Rasmus Järvelä
CreditsNames/RaymondSealy	Text	 [new]	Raymond Sealy	Raymond Sealy	Raymond Sealy
CreditsNames/RicardoCruzFarah	Text		Ricardo Cruz Farah	Ricardo Cruz Farah	Ricardo Cruz Farah
CreditsNames/RicardoKnight	Text	 [new]	Ricardo Knight	Ricardo Knight	Ricardo Knight
CreditsNames/RicjuanAlleyne	Text	 [new]	Ricjuan Alleyne	Ricjuan Alleyne	Ricjuan Alleyne
CreditsNames/RobinForsstrom	Text		Robin Forsström	Robin Forsström	Robin Forsström
CreditsNames/RonanTumelty	Text	 [new]	Ronan Tumelty	Ronan Tumelty	Ronan Tumelty
CreditsNames/RosalinevanSchaik	Text	 [new]	Rosaline van Schaik	Rosaline van Schaik	Rosaline van Schaik
CreditsNames/RyanBurke	Text	 [new]	Ryan Burke	Ryan Burke	Ryan Burke
CreditsNames/RyanTiller	Text	 [new]	Ryan Tiller	Ryan Tiller	Ryan Tiller
CreditsNames/SaaraKorhonen	Text	 [new]	Saara Korhonen	Saara Korhonen	Saara Korhonen
CreditsNames/SamMckie	Text		Sam Mckie	Sam Mckie	Sam Mckie
CreditsNames/SamuelArzt	Text	 [new]	Samuel Arzt	Samuel Arzt	Samuel Arzt
CreditsNames/SamuelSekandagu	Text		Samuel Sekandagu	Samuel Sekandagu	Samuel Sekandagu
CreditsNames/SantiagoMesel	Text	 [new]	Santiago Mesel	Santiago Mesel	Santiago Mesel
CreditsNames/SarahDembet	Text	 [new]	Sarah Dembet	Sarah Dembet	Sarah Dembet
CreditsNames/SarahFayMoineau	Text	 [new]	Sarah Fay Moineau	Sarah Fay Moineau	Sarah Fay Moineau
CreditsNames/SarahHoeksma	Text		Sarah Hoeksma	Sarah Hoeksma	Sarah Hoeksma
CreditsNames/SeanCampbell	Text		Sean Campbell	Sean Campbell	Sean Campbell
CreditsNames/SeveriJokiperä	Text	 [new]	Severi Jokiperä	Severi Jokiperä	Severi Jokiperä
CreditsNames/ShadwayneWilkinson	Text	 [new]	Shadwayne Wilkinson	Shadwayne Wilkinson	Shadwayne Wilkinson
CreditsNames/ShahJamal	Text	 [new]	Shah Jamal	Shah Jamal	Shah Jamal
CreditsNames/ShahrozAziz	Text	 [new]	Shahroz Aziz	Shahroz Aziz	Shahroz Aziz
CreditsNames/SimonRicard	Text	 [new]	Simon Ricard	Simon Ricard	Simon Ricard
CreditsNames/SoulWade	Text		Soul Wade	Soul Wade	Soul Wade
CreditsNames/StefanLampinen	Text	 [new]	Stefan Lampinen	Stefan Lampinen	Stefan Lampinen
CreditsNames/SteveStewart	Text	 [new]	Steve Stewart	Steve Stewart	Steve Stewart
CreditsNames/SunNyang	Text	 [new]	Sun_Nyang	Sun_Nyang	Sun_Nyang
CreditsNames/SvenThole	Text		Sven Thole	Sven Thole	Sven Thole
CreditsNames/Svings	Text		Svings	Svings	Svings
CreditsNames/SzymonStajszczak	Text	 [new]	Szymon Stajszczak	Szymon Stajszczak	Szymon Stajszczak
CreditsNames/Testify	Text		Testify	Testify	Testify
CreditsNames/Testronic	Text		Testronic	Testronic	Testronic
CreditsNames/TheDemonQueen	Text	 [new]	The Demon Queen	The Demon Queen	The Demon Queen
CreditsNames/ThomasBuck	Text	 [new]	Thomas Buck	Thomas Buck	Thomas Buck
CreditsNames/ThomasHofer	Text	 [new]	Thomas Hofer	Thomas Hofer	Thomas Hofer
CreditsNames/ThomasLumeau	Text		Thomas Lumeau	Thomas Lumeau	Thomas Lumeau
CreditsNames/TimSchipper	Text		Tim Schipper	Tim Schipper	Tim Schipper
CreditsNames/TimothyMcDougall	Text	 [new]	Timothy McDougall	Timothy McDougall	Timothy McDougall
CreditsNames/TinaMoore	Text		Tina Moore	Tina Moore	Tina Moore
CreditsNames/TomasAhlström	Text	 [new]	Tomas Ahlström	Tomas Ahlström	Tomas Ahlström
CreditsNames/TommiVikstedt	Text	 [new]	Tommi Vikstedt	Tommi Vikstedt	Tommi Vikstedt
CreditsNames/TonyEvans	Text		Tony Evans	Tony Evans	Tony Evans
CreditsNames/UkitParakitsri	Text	 [new]	Ukit Parakitsri	Ukit Parakitsri	Ukit Parakitsri
CreditsNames/UltraLX	Text	 [new]	UltraLX	UltraLX	UltraLX
CreditsNames/VictoriaKrizmanich	Text		Victoria K.	Victoria K.	Victoria K.
CreditsNames/VincentBahnsen	Text	 [new]	Vincent Bahnsen	Vincent Bahnsen	Vincent Bahnsen
CreditsNames/VincentCoates	Text		Vincent Coates	Vincent Coates	Vincent Coates
CreditsNames/VolodymyrBotvin	Text	 [new]	Volodymyr Botvin	Volodymyr Botvin	Volodymyr Botvin
CreditsNames/WilliamDouglas	Text	 [new]	William Douglas	William Douglas	William Douglas
CreditsNames/Wither503	Text	 [new]	Wither503	Wither503	Wither503
CreditsNames/Wodehouse	Text	 [new]	Wodehouse	Wodehouse	Wodehouse
CreditsNames/WojciechKania	Text	 [new]	Wojciech Kania	Wojciech Kania	Wojciech Kania
CreditsNames/YannickNaudThifault	Text	 [new]	Yannick Naud-Thifault	Yannick Naud-Thifault	Yannick Naud-Thifault
CreditsNames/YaxinLuo	Text	 [new]	Yaxin Luo	Yaxin Luo	Yaxin Luo
CreditsNames/YjariBeckles	Text	 [new]	Yjari Beckles	Yjari Beckles	Yjari Beckles
CreditsNames/YulianTkachenko	Text	 [new]	Yulian Tkachenko	Yulian Tkachenko	Yulian Tkachenko
CreditsNames/YuparetJongsuk	Text	 [new]	Yuparet Jongsuk	Yuparet Jongsuk	Yuparet Jongsuk
CreditsNames/YuriTanaka	Text	 [new]	Yuri Tanaka	Yuri Tanaka	Yuri Tanaka
CreditsNames/Zar	Text		Zar	Zar	Zar
CreditsNames/Zulander	Text	 [new]	Zulander	Zulander	Zulander
CreditsNames/aritsuki	Text	 [new]	aritsuki	aritsuki	aritsuki
CreditsNames/bklyn	Text		bklyn	bklyn	bklyn
CreditsNames/eralois	Text	 [new]	eralois	eralois	eralois
CreditsNames/ienonakaniiru	Text	 [new]	ienonakaniiru	ienonakaniiru	ienonakaniiru
CreditsNames/ohCreative	Text		ohCreative	ohCreative	ohCreative
CreditsNames/pictelated	Text	 [new]	pictelated	pictelated	pictelated
CreditsNames/启示立方体	Text	 [new]	启示立方体	启示立方体	启示立方体
CreditsNames/袁讴诺	Text	 [new]	袁讴诺	袁讴诺	袁讴诺
CreditsNames/黎明踏梦	Text	 [new]	黎明踏梦	黎明踏梦	黎明踏梦
CreditsNames/깅니아	Text	 [new]	깅니아	깅니아	깅니아
CreditsNames/최약창민	Text	 [new]	최약창민	최약창민	최약창민
DemoVersion	Text	{0} will be replaced by the version number	{0} Demo Version	{0} Wersja demonstracyjna	{0} Demo-Version
DontOverrideSeason	Text		Don't override season	Nie nadpisuj sezonu	Saison nicht überschreiben
EarlyAccess	Text		Early Access	Wczesny dostęp	Early Access
EarlyAccessVersion	Text	{0} will be replaced by the version number	{0} Early Access Version	{0} Wersja wczesnego dostępu	{0} Early-Access-Version
Emotes/AlreadyScanned	Text		I have already scanned this	Już to zeskanowałem	Das habe ich bereits gescannt
Emotes/CantLeaveWhileItsMoving	Text	Character says this when riding a vehicle such as minecart or boat and tries to jump off while it is moving	I can't leave while it's moving	Nie mogę wyjść, kiedy się porusza	Ich kann nicht gehen, während es sich bewegt
Emotes/CantSleepWhenEnemiesNear	Text		I can't sleep when enemies are nearby	Nie mogę spać, gdy wrogowie są w pobliżu	Ich kann nicht schlafen, wenn Feinde in der Nähe sind
Emotes/ICantDestroyThisObject	Text		I can't destroy this object	Nie mogę zniszczyć tego obiektu	Ich kann dieses Objekt nicht zerstören
Emotes/IDontHaveAPet	Text		I don't have a pet	Nie mam zwierzaka	Ich habe kein Haustier
Emotes/IDontHaveTheRequiredComponents	Text		I don't have the components	Nie mam komponentów	Ich habe die Komponenten nicht
Emotes/INeedADrillForThis	Text		I need a stationary drill for this	Potrzebuję do tego stacjonarnego wiertła	Dafür brauche ich eine Standbohrmaschine
Emotes/INeedBetterToolsForTheseWaters	Text	Means that player needs a better fishing rod or other means of fishing tools	I need better tools for these waters	Potrzebuję lepszych narzędzi na te wody	Für diese Gewässer brauche ich bessere Werkzeuge
Emotes/IShouldEat	Text		I should eat something	Powinienem coś zjeść	Ich sollte etwas essen
Emotes/IShouldGatherMyFriends	Text	The character says this when all other players must be present around the player to proceed with an action	I should gather my friends.	Powinienem zebrać przyjaciół.	Ich sollte meine Freunde holen.
Emotes/ImHungry	Text		I'm quite hungry	Jestem dość głodny	Ich bin ziemlich hungrig
Emotes/ItDoesntDoAnything	Text	Shown when trying to interact with something that does'nt work such as the Core when it is not powered up.	It doesn't do anything	To nic nie daje	Da tut sich nichts
Emotes/ItsEmpty	Text	Used when for example the water can is empty	It's empty	Jest pusta	Leer
Emotes/ItsTooHardINeedADrill	Text		It's too hard, I need a stationary drill	To jest zbyt twarde, potrzebuję stacjonarnego wiertła	Zu hart, ich brauche eine Standbohrmaschine
Emotes/LarvaEmote1	Text	Something the bigger larvas say when interacting with them while disguised as a larva	Hungry!	Głodny!	Hungrig!
Emotes/LarvaEmote2	Text		Squeek	Pisk	Quiek
Emotes/LarvaEmote3	Text		Must dig	Trzeba kopać	Muss graben
Emotes/LooksLikeItNeedsEnergy	Text	Energy refers to a building needing ancient electricity	Looks like it needs energy	Wygląda, jakby potrzebował energii	Braucht scheinbar Energie
Emotes/MiningSkillTooLow	Text		My mining damage is too low	Moje obrażenia górnicze są zbyt niskie	Mein Bergbauschaden ist zu niedrig
Emotes/NeedAncientForge	Text		I must be at the Ancient Forge	Muszę być w Pradawnej Kuźni	Ich muss in der uralten Schmiede sein
Emotes/NeedHigherMiningSkill	Text		I need higher mining damage	Potrzebuję większych obrażeń górniczych	Ich brauche einen höheren Bergbauschaden
Emotes/NoNearbyGroundToStandOn	Text		There's no nearby ground to stand on	Nie ma pobliskiego gruntu, na którym można by stanąć	Es ist kein Boden in der Nähe, auf dem man stehen kann
Emotes/NoOtherPortals	Text	Shown when there are no other portals to teleport to	No other portals to teleport to	Brak innych portali, do których można się teleportować	Keine anderen Portale zum Teleportieren
Emotes/NotEnoughMana	Text	 [new]	I'm out of mana	Nie mam many	Kein Mana mehr
Emotes/NotFullyCharged	Text	Shown when player tries to interact with a portal that is still charging up	It needs some time to charge up	Potrzebuje trochę czasu, aby się naładować	Es braucht einige Zeit zum Aufladen
Emotes/NothingHappens	Text		Nothing happens	Nic się nie dzieje	Nichts passiert
Emotes/NothingWasFound	Text		Nothing was found	Nic nie znaleziono	Nichts gefunden
Emotes/ObjectIsImmuneToDamage	Text		The object is immune to damage	Ten obiekt jest odporny na obrażenia	Das Objekt ist immun gegen Schaden
Emotes/ObjectIsIndestructible	Text		The object is indestructible	Ten obiekt jest niezniszczalny	Das Objekt ist unzerstörbar
Emotes/Ouch	Text		Ouch!	Auć!	Aua!
Emotes/OutOfWater	Text		Out of water	Bez wody	Kein Wasser mehr
Emotes/PetIsAlreadyMaxLevel	Text		Pet is at max level	Zwierzę jest na maksymalnym poziomie	Haustier hat max. Stufe erreicht
Emotes/PetIsTooFarAway	Text		Pet is too far away	Zwierzę jest zbyt daleko	Haustier ist zu weit entfernt
Emotes/PoweredDown	Text		It seems powered down	Wygląda na wyłączony	Scheint abgeschaltet zu sein
Emotes/Questionmark	Text		?	?	?
Emotes/ShouldPlaceHandOnWall	Text		I should place my hand on the wall	Powinienem położyć dłoń na ścianie	Ich sollte meine Hand an die Wand legen
Emotes/StomachFull	Text		My stomach is too full	Mój żołądek jest zbyt pełny	Mein Magen ist zu voll
Emotes/StopHurtingMe	Text		Stop hurting me!	Przestań mnie ranić!	Hör auf, mir weh zu tun!
Emotes/TheAncientForge	Text	Quotes around it cause player character is reading it	"""The Ancient Forge"""	"""Pradawna kuźnia"""	„Die uralte Schmiede“
Emotes/TheFishArentBiting	Text		The fish aren't biting	Ryby nie biorą	Die Fische beißen nicht
Emotes/ThisIsNotMyBed	Text		This is not my bed	To nie jest moje łóżko	Das ist nicht mein Bett
Emotes/ThisWillTakeAWhile	Text		This will take a while...	To trochę potrwa...	Das könnte dauern ...
Emotes/ThisWillTakeForever	Text		This will take forever...	To zajmie wieczność...	Das wird ewig dauern ...
Emotes/UnlockedInEarlyAccess	Text		Unlocked in Early Access	Odblokowane w ramach wczesnego dostępu	Im Early Access freigeschaltet
Emotes/UnlocksAtLaunch	Text	 [new]	"Continue your exploration beyond the wall at 1.0,
unlocks August 27th 2024."	Kontynuuj eksplorację poza murem w wersji 1.0, zostanie odblokowana 27 sierpnia 2024 r.	"Setze die Erkundung jenseits der Wand mit 1.0 fort.
Die Freischaltung erfolgt am 27. August 2024"
Emotes/WaypointActivated	Text	 [new]	Waypoint activated	Punkt nawigacyjny aktywowany	Wegpunkt aktiviert
Error/Authenticating	Text	 [new]	Authenticating.	Uwierzytelnianie.	Authentifizierung läuft.
Error/AuthenticationFailed	Text		Authentication failed	Autoryzacja nie powiodła się	Authentifizierung fehlgeschlagen
Error/BackingStorageFull	Text		Disk or cloud quota is full, try deleting some things	Limit na dysku lub w chmurze jest pełny, spróbuj usunąć niektóre rzeczy.	Festplatte oder Cloud-Kontingent ist voll – versuche es damit, einige Dinge zu löschen
Error/BadInternet	Text	 [new]	Currently experiencing connection issues.	Obecnie występują problemy z połączeniem.	Es bestehen momentan Probleme mit der Verbindung.
Error/BadProtocolVersion	Text		Game version mismatch	Niezgodność wersji gry	Falsche Spielversion
Error/Canceled	Text		Operation was canceled	Operacja została anulowana	Vorgang wurde abgebrochen
Error/CannotJoinSession	Text	 [new]	You cannot join this session.	Nie możesz dołączyć do tej sesji.	Du kannst dieser Sitzung nicht beitreten.
Error/CharacterVersionTooHigh	Text		This character was created using a more recent game version. Please check for game updates.	Ta postać została stworzona przy użyciu nowszej wersji gry. Sprawdź aktualizacje gry.	Dieser Charakter wurde mit einer neueren Spielversion erstellt. Bitte prüfe, ob Spiel-Updates verfügbar sind.
Error/CompileFailed	Text		Compilation failed	Kompilacja nie powiodła się	Kompilierung fehlgeschlagen
Error/ConnectionClose	Text		Connection closed	Połączenie przerwanie	Verbindung geschlossen
Error/ConnectionFailedWith	Text	 [new]	Connection failed:	Połączenie nie powiodło się:	Verbindung fehlgeschlagen:
Error/ConnectionLost	Text	 [new]	Connection lost	Połączenie utracone	Verbindung unterbrochen
Error/CrossplayNotEnabled	Text	 [new]	Crossplay not enabled	Crossplay nie został włączony	Plattformübergreifendes Spielen deaktiviert
Error/FailedToLoad	Text	 [new]	Failed to load	Nie udało się załadować	Konnte nicht geladen werden
Error/FileAccess	Text		Couldn't access file	Nie można uzyskać dostępu do pliku	Auf Datei konnte nicht zugegriffen werden
Error/GameNotFound	Text		Could not find game	Nie można znaleźć gry	Spiel kann nicht gefunden werden
Error/HostDisableCrossplay	Text	 [new]	There seems to be an issue with crossplay. You can ask the host to disable it in the gameplay settings.	Wygląda na to, że występuje problem z crossplayem. Możesz poprosić hosta o jego wyłączenie w ustawieniach rozgrywki.	Es scheint ein Problem mit dem plattformübergreifenden Spielen zu geben. Du kannst den Host darum bitten, diese Funktion in den Spieleinstellungen zu deaktivieren.
Error/HostDoesNotAllowCrossplay	Text	 [new]	Host does not allow crossplay	Host nie zezwala na crossplay	Host gestattet kein plattformübergreifendes Spielen
Error/HostIncompatiblePlatform	Text	 [new]	Host is incompatible with your platform since it does not support crossplay.	Host jest niekompatybilny z twoją platformą, ponieważ nie obsługuje crossplay.	Deine Plattform und die Plattform des Hosts sind nicht kompatibel, da sie plattformübergreifendes Spielen nicht unterstützt.
Error/HostNotReady	Text		Host is not ready	Host nie jest gotowy	Host ist nicht bereit
Error/InternalError	Text		Internal error	Błąd wewnętrzny	Interner Fehler
Error/InvalidAccess	Text		Invalid access	Nieprawidłowy dostęp	Ungültiger Zugriff
Error/InvalidRpc	Text		Invalid network message	Nieprawidłowy komunikat sieciowy	Ungültige Netzwerkmeldung
Error/MaxConnectionAttempts	Text		Connection failed after too many retries	Połączenie nie powiodło się po zbyt wielu próbach	Verbindung nach zu vielen Versuchen fehlgeschlagen
Error/MaxSessionTimeReached	Text	 [new]	Maximum session time reached.	Osiągnięto maksymalny czas sesji.	Maximale Sitzungszeit erreicht.
Error/MultiplayerDisabledDueToError	Text	 [new]	Connection to the multiplayer backend was lost. To re-enable multiplayer, exit and reopen the game world.	Połączenie z backendem trybu wieloosobowego zostało utracone. Aby ponownie włączyć tryb wieloosobowy, zamknij i ponownie otwórz świat gry.	Die Verbindung zum Multiplayer-Backend wurde unterbrochen. Um Multiplayer zu reaktiveren, musst du die Welt verlassen und neu öffnen.
Error/MultiplayerNonSteamNotAvailable	Text	 [new]	Multiplayer with players outside of Steam is not available.	Tryb wieloosobowy z graczami spoza Steam nie jest dostępny.	Der Multiplayer-Modus ist mit Nicht-Steam-Spielern nicht verfügbar.
Error/MultiplayerNotAvailable	Text	 [new]	Multiplayer is not available.	Tryb wieloosobowy nie jest dostępny.	Der Multiplayer-Modus ist nicht verfügbar.
Error/NetworkInitFailed	Text	 [new]	Network initialization failed.	Inicjalizacja sieci nie powiodła się.	Netzwerk-Initialisierung fehlgeschlagen.
Error/NoNetwork	Text		No network	Brak sieci	Kein Netzwerk
Error/NoWorldWriteWarning	Text		There has been no auto save since {0} minutes. This probably means an error has occurred. Restarting the host is recommended to ensure all progress is saved.	Od {0} minut nie wykonano automatycznego zapisu. Prawdopodobnie oznacza to, że wystąpił błąd. Zaleca się ponowne uruchomienie hosta, aby upewnić się, że wszystkie postępy zostały zapisane.	Seit {0} Minuten fand keine automatische Speicherung statt. Das bedeutet wahrscheinlich, dass ein Fehler aufgetreten ist. Es wird empfohlen, den Host neu zu starten, um das Speichern aller Fortschritte sicherzustellen.
Error/NoWorldWriteWarningEnd	Text		Auto save successful!	Pomyślne automatyczne zapisanie!	Automatisches Speichern erfolgreich!
Error/PleaseWait	Text	 [new]	Please wait.	Proszę czekać.	Bitte warten.
Error/SaveFileCorrupt	Text		Could not read save file	Nie udało się odczytać pliku zapisu	Speicherdatei konnte nicht gelesen werden
Error/SessionBlockedBy	Text	 [new]	You cannot join this session because it contains a user who has blocked you.	Nie możesz dołączyć do tej sesji, ponieważ zawiera ona użytkownika, który cię zablokował.	Du kannst dieser Sitzung nicht beitreten, weil ein Benutzer daran teilnimmt, der dich ausgeschlossen hat.
Error/SessionContainsBlockedUser	Text	 [new]	You cannot join this session because it contains a user you have blocked.	Nie możesz dołączyć do tej sesji, ponieważ zawiera ona użytkownika, którego zablokowałeś.	Du kannst dieser Sitzung nicht beitreten, weil ein von dir ausgeschlossener Benutzer daran teilnimmt.
Error/SessionJoinBanned	Text	 [new]	You cannot join this session because you have been banned by a session admin.	Nie możesz dołączyć do tej sesji, ponieważ zostałeś zablokowany przez administratora sesji.	Du kannst dieser Sitzung nicht beitreten, weil du von einem Sitzungsadministrator ausgeschlossen wurdest.
Error/Timeout	Text		Connection timed out	Przekroczono limit czasu połączenia	Zeitüberschreitung bei der Verbindung
Error/Unknown	Text		Unknown error	Nieznany błąd	Unbekannter Fehler
Error/UserConnected	Text	 [new]	{0} connected.	{0} podłączonych.	{0} verbunden.
Error/UserDisconnected	Text	 [new]	{0} disconnected.	{0} rozłączonych.	{0} Verbindung getrennt.
Error/WorldVersionTooHigh	Text		This world was created using a more recent game version. Please check for game updates.	Ten świat został stworzony przy użyciu nowszej wersji gry. Sprawdź aktualizacje gry.	Diese Welt wurde mit einer neueren Spielversion erstellt. Bitte prüfe, ob Spiel-Updates verfügbar sind.
Error/reqFailNotificationGPU	Text		Warning: Your GPU does not meet the minimum requirements. Game visuals might not work correctly	Ostrzeżenie: Twój procesor graficzny nie spełnia minimalnych wymagań. Gra może nie działać poprawnie	Warnung: Dein Grafikprozessor entspricht nicht den Mindestanforderungen. Die Grafik des Spiels wird unter Umständen nicht richtig funktionieren.
FollowTwitter	Text		Follow us on Twitter	Śledź nas na Twitterze	Folge uns auf Twitter
FoodAdjectives/AmberLarva	Text		Meaty	Mięsiste	Fleischiges
FoodAdjectives/AmberLarvaFemale	Text		Meaty	Mięsista	Fleischige
FoodAdjectives/AmberLarvaMale	Text		Meaty	Mięsisty	Fleischiger
FoodAdjectives/AngleFish	Text		Encased	Obudowane	Umhülltes
FoodAdjectives/AngleFishFemale	Text		Encased	Obudowana	Umhüllte
FoodAdjectives/AngleFishMale	Text		Encased	Obudowany	Umhüllter
FoodAdjectives/AstralJelly	Text		Astral	Astralne	Astrales
FoodAdjectives/AstralJellyFemale	Text		Astral	Astralna	Astrale
FoodAdjectives/AstralJellyMale	Text		Astral	Astralny	Astraler
FoodAdjectives/AtlantianWormHeart	Text		Atlantean	Atlantydzkie	Atlantisches
FoodAdjectives/AtlantianWormHeartFemale	Text		Atlantean	Atlantydzka	Atlantische
FoodAdjectives/AtlantianWormHeartMale	Text		Atlantean	Atlantydzki	Atlantischer
FoodAdjectives/AzureFeatherFish	Text		Azure	Lazurowe	Azurblaues
FoodAdjectives/AzureFeatherFishFemale	Text		Azure	Lazurowa	Azurblaue
FoodAdjectives/AzureFeatherFishMale	Text		Azure	Lazurowy	Azurblauer
FoodAdjectives/BlackSteelUrchin	Text		Black	Czarne	Schwarzes
FoodAdjectives/BlackSteelUrchinFemale	Text		Black	Czarna	Schwarze
FoodAdjectives/BlackSteelUrchinMale	Text		Black	Czarny	Schwarzer
FoodAdjectives/BloatOat	Text		Filling	Nasycające	Sättigendes
FoodAdjectives/BloatOatFemale	Text		Filling	Nasycająca	Sättigende
FoodAdjectives/BloatOatMale	Text		Filling	Nasycający	Sättigender
FoodAdjectives/BloatOatRare	Text		Stodgy	Kudłate	Nährendes
FoodAdjectives/BloatOatRareFemale	Text		Stodgy	Kudłata	Nährende
FoodAdjectives/BloatOatRareMale	Text		Stodgy	Kudłaty	Nährender
FoodAdjectives/BlueCaveGuppy	Text		Blue	Niebieskie	Blaues
FoodAdjectives/BlueCaveGuppyFemale	Text		Blue	Niebieska	Blaue
FoodAdjectives/BlueCaveGuppyMale	Text		Blue	Niebieski	Blauer
FoodAdjectives/BombPepper	Text		Spicy	Ostre	Würziges
FoodAdjectives/BombPepperFemale	Text		Spicy	Ostra	Würzige
FoodAdjectives/BombPepperMale	Text		Spicy	Ostry	Würziger
FoodAdjectives/BombPepperRare	Text		Piquant	Pikantne	Pikantes
FoodAdjectives/BombPepperRareFemale	Text		Piquant	Pikantna	Pikante
FoodAdjectives/BombPepperRareMale	Text		Piquant	Pikantny	Pikanter
FoodAdjectives/BottomTracer	Text		Bright Yellow	Jasnożółte	Hellgelbes
FoodAdjectives/BottomTracerFemale	Text		Bright Yellow	Jasnożółta	Hellgelbe
FoodAdjectives/BottomTracerMale	Text		Bright Yellow	Jasnożółty	Hellgelber
FoodAdjectives/BrightLavaEater	Text		Bright	Jasne	Helles
FoodAdjectives/BrightLavaEaterFemale	Text		Bright	Jasna	Helle
